hanja_unicode,hangul_eumga
U+F900,"기,개"
U+F901,"갱,경"
U+F902,"거,차"
U+F903,"고,가"
U+F904,"활,골"
U+F905,"천,관,곶,찬"
U+F906,"구,귀"
U+F907,"귀,구,균"
U+F908,"귀,구,균"
U+F909,"계,결,글,설"
U+F90A,"금,김"
U+F90B,"라,랄"
U+F90C,"내,나"
U+F90D,"라,란,뢰"
U+F90E,"랄,라,뢰"
U+F90F,"라,나"
U+F910,라
U+F911,라
U+F912,라
U+F913,라
U+F914,"악,락,요"
U+F915,락
U+F916,락
U+F917,"락,력"
U+F918,락
U+F919,"락,로"
U+F91A,락
U+F91B,란
U+F91C,란
U+F91D,"란,련"
U+F91E,란
U+F91F,란
U+F920,란
U+F921,람
U+F922,"람,함"
U+F923,"람,감"
U+F924,람
U+F925,랍
U+F926,랍
U+F927,랍
U+F928,랑
U+F929,랑
U+F92A,랑
U+F92B,랑
U+F92C,랑
U+F92D,래
U+F92E,"랭,령"
U+F92F,로
U+F930,로
U+F931,로
U+F932,로
U+F933,로
U+F934,로
U+F935,"로,려"
U+F936,로
U+F937,"로,락"
U+F938,로
U+F939,로
U+F93A,로
U+F93B,"록,락"
U+F93C,록
U+F93D,록
U+F93E,록
U+F93F,"록,려"
U+F940,록
U+F941,"론,륜"
U+F942,롱
U+F943,롱
U+F944,롱
U+F945,롱
U+F946,"뢰,로,루"
U+F947,뢰
U+F948,"뢰,로"
U+F949,뢰
U+F94A,"루,뢰,률"
U+F94B,루
U+F94C,루
U+F94D,"루,려"
U+F94E,루
U+F94F,"루,라,렵"
U+F950,루
U+F951,루
U+F952,륵
U+F953,"륵,근"
U+F954,"름,늠"
U+F955,릉
U+F956,릉
U+F957,릉
U+F958,릉
U+F959,릉
U+F95A,"독,두"
U+F95B,나
U+F95C,"악,락,요"
U+F95D,낙
U+F95E,"단,란"
U+F95F,"녕,령"
U+F960,노
U+F961,"솔,수,률"
U+F962,이
U+F963,"북,배"
U+F964,"반,파,번"
U+F965,"편,변"
U+F966,"복,부"
U+F967,"불,부"
U+F968,"비,필"
U+F969,"수,삭,촉,속"
U+F96A,"삭,색,소"
U+F96B,"참,삼"
U+F96C,"새,색"
U+F96D,"성,생,선"
U+F96E,"엽,섭,접"
U+F96F,"설,열,세,탈"
U+F970,"살,쇄,설,시"
U+F971,"진,신"
U+F972,"침,심"
U+F973,"습,십,겁,섭"
U+F974,"약,야"
U+F975,략
U+F976,략
U+F977,량
U+F978,"량,냥"
U+F979,량
U+F97A,량
U+F97B,량
U+F97C,"량,랑"
U+F97D,량
U+F97E,량
U+F97F,려
U+F980,려
U+F981,"녀,여"
U+F982,"려,로"
U+F983,려
U+F984,려
U+F985,려
U+F986,려
U+F987,"려,리"
U+F988,"려,리"
U+F989,"려,여"
U+F98A,력
U+F98B,력
U+F98C,력
U+F98D,력
U+F98E,"년,녕"
U+F98F,"련,린"
U+F990,련
U+F991,년
U+F992,"련,란"
U+F993,련
U+F994,련
U+F995,"년,녕"
U+F996,련
U+F997,련
U+F998,련
U+F999,"련,섭"
U+F99A,"련,란"
U+F99B,"련,간"
U+F99C,렬
U+F99D,렬
U+F99E,"연,열,인"
U+F99F,렬
U+F9A0,"렬,례"
U+F9A1,"설,열,세,탈"
U+F9A2,렴
U+F9A3,념
U+F9A4,"념,녑"
U+F9A5,렴
U+F9A6,렴
U+F9A7,"렵,작"
U+F9A8,령
U+F9A9,령
U+F9AA,"녕,령"
U+F9AB,령
U+F9AC,"령,련"
U+F9AD,령
U+F9AE,"영,형,옥"
U+F9AF,령
U+F9B0,령
U+F9B1,령
U+F9B2,"령,련"
U+F9B3,령
U+F9B4,령
U+F9B5,례
U+F9B6,례
U+F9B7,례
U+F9B8,"례,이,대"
U+F9B9,"악,오"
U+F9BA,료
U+F9BB,료
U+F9BC,료
U+F9BD,뇨
U+F9BE,료
U+F9BF,"악,락,요"
U+F9C0,료
U+F9C1,"료,삭"
U+F9C2,"료,로,륙,류"
U+F9C3,료
U+F9C4,"룡,방,롱,총,망"
U+F9C5,"훈,운"
U+F9C6,"완,원"
U+F9C7,"류,유"
U+F9C8,"뉴,추"
U+F9C9,"류,)"
U+F9CA,류
U+F9CB,류
U+F9CC,"류,유"
U+F9CD,류
U+F9CE,류
U+F9CF,뉴
U+F9D0,"류,뢰"
U+F9D1,륙
U+F9D2,륙
U+F9D3,륙
U+F9D4,륜
U+F9D5,륜
U+F9D6,"륜,론"
U+F9D7,륜
U+F9D8,률
U+F9D9,률
U+F9DA,"률,렬"
U+F9DB,"솔,수,률"
U+F9DC,륭
U+F9DD,리
U+F9DE,리
U+F9DF,리
U+F9E0,"역,이"
U+F9E1,리
U+F9E2,리
U+F9E3,"니,녕,녈"
U+F9E4,리
U+F9E5,리
U+F9E6,리
U+F9E7,리
U+F9E8,리
U+F9E9,리
U+F9EA,"리,치,려"
U+F9EB,"닉,특"
U+F9EC,"닉,약,뇨"
U+F9ED,린
U+F9EE,린
U+F9EF,린
U+F9F0,린
U+F9F1,린
U+F9F2,린
U+F9F3,린
U+F9F4,림
U+F9F5,림
U+F9F6,림
U+F9F7,"립,위"
U+F9F8,립
U+F9F9,립
U+F9FA,"상,장"
U+F9FB,"적,자"
U+F9FC,"식,지,치"
U+F9FD,"십,집"
U+F9FE,"다,차"
U+F9FF,"자,척,체,라"
U+FA00,"절,체"
U+FA01,"도,탁,택"
U+FA02,"척,탁"
U+FA03,"당,탕"
U+FA04,"택,댁,탁"
U+FA05,"동,통"
U+FA06,"폭,포,박"
U+FA07,"복,폭,부"
U+FA08,"행,항"
U+FA09,"항,강"
U+FA0A,"견,현,간"
U+FA0B,"곽,확"
U+FA0C,올
U+FA0D,학
U+FA0E,
U+FA0F,
U+FA10,총
U+FA11,
U+FA12,청
U+FA13,
U+FA14,
U+FA15,희
U+FA16,"저,차"
U+FA17,"익,일"
U+FA18,례
U+FA19,신
U+FA1A,상
U+FA1B,"복,부"
U+FA1C,정
U+FA1D,정
U+FA1E,"우,호"
U+FA1F,
U+FA20,
U+FA21,
U+FA22,"제,저"
U+FA23,
U+FA24,
U+FA25,일
U+FA26,"도,지"
U+FA27,
U+FA28,
U+FA29,
U+FA2A,반
U+FA2B,사
U+FA2C,관
U+FA2D,학
U+FA2E,랑
U+FA2F,"례,이,대"
U+FA30,모
U+FA31,승
U+FA32,"면,문"
U+FA33,면
U+FA34,근
U+FA35,비
U+FA36,"갈,애"
U+FA37,"탄,우"
U+FA38,기
U+FA39,병
U+FA3A,"묵,미"
U+FA3B,층
U+FA3C,"철,초,좌"
U+FA3D,회
U+FA3E,개
U+FA3F,증
U+FA40,징
U+FA41,민
U+FA42,"기,희"
U+FA43,서
