hanja_unicode,hangul_eumga,match_hanja_unicode,match_hangul_eumga,match_type
U+F903,고,U+8CC8,가,일반
U+FA09,항,U+964D,강,일반
U+FA0A,현,U+898B,견,일반
U+F901,갱,U+66F4,경,일반
U+F909,글,U+5951,계,일반
U+F905,관,U+4E32,곶,일반
U+FA0B,확,U+5ED3,곽,일반
U+F906,귀,U+53E5,구,일반
U+F900,개,U+8C48,기,일반
U+F90A,금,U+91D1,김,일반
U+F95B,라,U+62CF,나,일반
U+F95D,락,U+8AFE,낙,일반
U+F90C,나,U+5948,내,일반
U+F960,로,U+6012,노,일반
U+F9FE,차,U+8336,다,일반
U+F95E,란,U+4E39,단,일반
U+FA03,탕,U+7CD6,당,일반
U+FA04,택,U+5B85,댁,일반
U+FA01,탁,U+5EA6,도,일반
U+F95A,두,U+8B80,독,일반
U+FA05,통,U+6D1E,동,일반
U+F964,번,U+78FB,반,일반
U+F966,부,U+5FA9,복,일반
U+FA07,폭,U+8F3B,복,일반
U+F967,불,U+4E0D,부,일반
U+F963,배,U+5317,북,일반
U+F970,쇄,U+6BBA,살,일반
U+F9FA,장,U+72C0,상,일반
U+F96C,색,U+585E,새,일반
U+F96A,삭,U+7D22,색,일반
U+F96D,생,U+7701,성,일반
U+F969,삭,U+6578,수,일반
U+F973,십,U+62FE,습,일반
U+F9FC,지,U+8B58,식,일반
U+F9FD,집,U+4EC0,십,일반
U+F9B9,오,U+60E1,악,일반
U+F974,야,U+82E5,약,일반
U+F9E0,이,U+6613,역,일반
U+F96E,섭,U+8449,엽,일반
U+F9C6,원,U+962E,완,일반
U+F962,리,U+7570,이,일반
U+F99E,열,U+54BD,인,일반
U+F9FF,척,U+523A,자,일반
U+F9FB,적,U+7099,자,일반
U+FA00,체,U+5207,절,일반
U+F971,신,U+8FB0,진,일반
U+F902,거,U+8ECA,차,일반
U+F96B,삼,U+53C3,참,일반
U+FA02,탁,U+62D3,척,일반
U+F972,심,U+6C88,침,일반
U+F965,변,U+4FBF,편,일반
U+FA06,포,U+66B4,폭,일반
U+F968,비,U+6CCC,필,일반
U+FA08,항,U+884C,행,일반
U+F9AE,영,U+7469,형,일반
U+F904,골,U+6ED1,활,일반
U+F9C5,운,U+6688,훈,일반
U+F981,여,U+5973,녀,두음
U+F98E,연,U+5E74,년,두음
U+F991,연,U+649A,년,두음
U+F995,연,U+79CA,년,두음
U+F9A3,염,U+5FF5,념,두음
U+F9A4,염,U+637B,념,두음
U+F9BD,요,U+5C3F,뇨,두음
U+F9C8,유,U+677B,뉴,두음
U+F9CF,유,U+7D10,뉴,두음
U+F9E3,이,U+6CE5,니,두음
U+F9EB,익,U+533F,닉,두음
U+F9EC,익,U+6EBA,닉,두음
U+F90B,나,U+5587,라,두음
U+F90D,나,U+61F6,라,두음
U+F90E,나,U+7669,라,두음
U+F90F,나,U+7F85,라,두음
U+F910,나,U+863F,라,두음
U+F911,나,U+87BA,라,두음
U+F912,나,U+88F8,라,두음
U+F913,나,U+908F,라,두음
U+F915,낙,U+6D1B,락,두음
U+F916,낙,U+70D9,락,두음
U+F917,낙,U+73DE,락,두음
U+F918,낙,U+843D,락,두음
U+F919,낙,U+916A,락,두음
U+F91A,낙,U+99F1,락,두음
U+F91B,난,U+4E82,란,두음
