hanja_unicode,hangul_eumga
U+20000,하
U+20001,칠
U+20004,혜
U+20005,해
U+20007,차
U+20008,구
U+20009,상
U+2000B,장
U+2000D,세
U+20012,평
U+20013,사
U+20014,굴
U+20018,천
U+20019,려
U+2001A,불
U+20020,기
U+20021,천
U+20022,자
U+20024,병
U+20026,형
U+2002C,첨
U+2002D,평
U+2002E,기
U+20038,야
U+2003B,원
U+20041,두
U+20055,곤
U+20060,저
U+20061,복
U+20065,개
U+20066,중
U+20067,중
U+20069,중
U+2006D,기
U+2006E,숙
U+20070,괴
U+20071,사
U+20074,귀
U+2007C,이
U+2007D,환
U+2007F,단
U+20082,종
U+20086,예
U+20087,좌
U+2008D,만
U+2008F,유
U+20095,시
U+20096,제
U+20099,제
U+2009C,핍
U+2009E,호
U+2009F,근
U+200A0,변
U+200A2,파
U+200A4,퇴
U+200A5,종
U+200A7,신
U+200A9,씨
U+200AC,치
U+200B0,호
U+200B2,조
U+200B6,오
U+200B7,행
U+200B9,수
U+200BA,사
U+200BE,배
U+200BF,수
U+200C3,부
U+200C4,유
U+200C9,을
U+200CA,은
U+200CB,굉
U+200CF,규
U+200D0,회
U+200D2,야
U+200D5,주
U+200D6,규
U+200DE,례
U+200DF,야
U+200E0,축
U+200E1,만
U+200E4,황
U+200E5,거
U+200E7,비
U+200ED,시
U+200F2,절
U+200F3,규
U+200F5,건
U+200F8,의
U+200FA,구
U+200FC,사
U+200FD,앙
U+20102,치
U+20103,건
U+20104,간
U+20105,업
U+20107,락
U+20108,린
U+20109,동
U+2010C,궐
U+2010D,갈
U+2010E,내
U+2010F,조
U+20111,궐
U+20112,수
U+20113,주
U+20114,환
U+20115,내
U+20116,령
U+20117,주
U+2011A,정
U+2011B,예
U+2011D,예
U+2011E,상
U+2011F,하
U+20121,오
U+20122,긍
U+20123,긍
U+20124,순
U+20128,항
U+2012C,조
U+2012D,긍
U+2012E,마
U+20130,로
U+20131,이
U+20135,성
U+20137,제
U+20139,극
U+2013F,위
U+20142,결
U+20143,역
U+20148,뇨
U+2014C,이
U+2014F,극
U+20153,
U+20154,극
U+20158,정
U+20159,량
U+2015A,휴
U+2015E,승
U+2015F,승
U+20160,향
U+20161,극
U+20162,박
U+20166,면
U+20169,숙
U+2016A,괄
U+2016B,승
U+2016C,보
U+20177,곽
U+20181,라
U+20182,쇠
U+20187,오
U+20189,기
U+2018C,용
U+2018E,위
U+2018F,쇠
U+20190,욱
U+20191,오
U+20192,용
U+2019A,쇠
U+2019D,양
U+2019F,미
U+201A3,과
U+201A4,정
U+201A6,사
U+201A8,혈
U+201A9,범
U+201AA,고
U+201AD,음
U+201AF,작
U+201B2,엄
U+201B4,뇨
U+201B5,예
U+201B6,담
U+201B7,개
U+201B8,모
U+201B9,시
U+201BA,현
U+201BB,경
U+201BC,강
U+201C2,개
U+201CB,담
U+201D7,과
U+201D8,촉
U+201D9,강
U+201DA,갑
U+201DB,불
U+201DC,시
U+201DD,강
U+201EF,거
U+201F1,말
U+201F2,휴
U+201F3,실
U+201F4,개
U+201F5,감
U+201FE,휴
U+201FF,발
U+20200,사
U+20201,탁
U+20203,보
U+20204,환
U+20205,수
U+20206,휴
U+20207,숙
U+20208,차
U+20209,간
U+2020A,나
U+2020B,융
U+2020C,우
U+2020D,비
U+2020E,치
U+2020F,검
U+20210,신
U+20211,광
U+20216,응
U+20222,원
U+20226,급
U+20227,역
U+20228,작
U+2022D,로
U+2022E,기
U+2022F,병
U+20230,탄
U+20231,사
U+20232,활
U+20233,벽
U+20234,치
U+20235,방
U+20236,읍
U+20238,특
U+20239,유
U+2023A,폐
U+2023C,순
U+2023D,이
U+2023E,재
U+2023F,역
U+20254,병
U+20255,사
U+20256,모
U+20258,필
U+20261,척
U+20262,시
U+20263,혼
U+20264,답
U+20265,윤
U+20266,숙
U+20268,겁
U+20269,독
U+2026A,엽
U+2026B,광
U+2026C,암
U+2026D,도
U+2026E,권
U+20273,어
U+2028B,룡
U+2028C,염
U+20296,례
U+202A3,추
U+202A4,치
U+202A5,종
U+202A6,노
U+202A7,병
U+202A9,잔
U+202AA,수
U+202AB,순
U+202AD,감
U+202AE,무
U+202AF,수
U+202B0,과
U+202B1,후
U+202B2,돌
U+202B4,탁
U+202B5,다
U+202B6,잉
U+202B7,치
U+202B8,벽
U+202B9,척
U+202BA,음
U+202BB,보
U+202BE,계
U+202C1,약
U+202C2,참
U+202D2,명
U+202D4,산
U+202D5,공
U+202D7,아
U+202DD,묘
U+202E1,사
U+202E2,수
U+202E7,가
U+202E8,사
U+202E9,복
U+202EA,환
U+202EB,후
U+202EC,격
U+202ED,배
U+202EE,수
U+202F0,척
U+202F1,설
U+202F2,색
U+202F3,계
U+202F4,담
U+202F6,명
U+202F7,천
U+202F8,공
U+202FA,소
U+202FB,직
U+202FC,우
U+202FE,보
U+20300,보
U+20302,산
U+20308,륜
U+20309,반
U+20315,공
U+20318,하
U+2031C,혜
U+2031E,수
U+20329,빙
U+2032B,필
U+2032F,
U+20330,개
U+20331,수
U+20332,점
U+20336,화
U+20337,집
U+20338,병
U+20339,척
U+2033A,쇠
U+2033C,억
U+2033E,의
U+20344,두
U+20348,참
U+20357,회
U+20358,산
U+2035F,가
U+20362,무
U+20368,미
U+2036A,저
U+2036B,이
U+2036F,별
U+20370,치
U+20371,집
U+20372,거
U+20373,익
