hanja_unicode,hangul_eumga,match_hanja_unicode,match_type
U+20000,하,,
U+20001,칠,U+4E03,이체자(v0)
U+20002,,,
U+20003,"차,저",U+4E14,이체자(v0)
U+20004,혜,,
U+20005,해,U+4EA5,이체자(v0)
U+20006,,,
U+20007,차,U+4E14,이체자(v0)
U+20008,구,U+4E18,이체자(v0)
U+20009,상,,
U+2000A,,,
U+2000B,장,U+4E08,이체자(v0)
U+2000C,,U+4E18,이체자(v0)
U+2000D,세,U+4E16,이체자(v0)
U+2000E,,,
U+2000F,,,
U+20010,,,
U+20011,,U+5929,이체자(v0)
U+20012,평,U+5E73,이체자(v0)
U+20013,사,,
U+20014,굴,,
U+20015,,U+4E92,이체자(v0)
U+20016,,,
U+20017,,,
U+20018,천,U+5929,이체자(v0)
U+20019,려,U+9E97,이체자(v0)
U+2001A,불,U+4E0D,이체자(v0)
U+2001B,,,
U+2001C,,U+90B1,이체자(v0)
U+2001D,,,
U+2001E,,,
U+2001F,,,
U+20020,기,U+7B95,이체자(v0)
U+20021,천,U+5929,이체자(v0)
U+20022,자,,
U+20023,,,
U+20024,병,U+4E26,이체자(v0)
U+20025,,,
U+20026,형,,
U+20027,,,
U+20028,,,
U+20029,,U+6C40,이체자(v0)
U+2002A,,,
U+2002B,,,
U+2002C,첨,,
U+2002D,평,U+5E73,이체자(v0)
U+2002E,기,U+7B95,이체자(v0)
U+2002F,,U+6DF5,이체자(v0)
U+20030,,U+591A,이체자(v0)
U+20031,,,
U+20032,,,
U+20033,,,
U+20034,,,
U+20035,,,
U+20036,,,
U+20037,,,
U+20038,야,,
U+20039,,,
U+2003A,,U+9664,이체자(v0)
U+2003B,원,U+9EFF,이체자(v0)
U+2003C,,U+590F,이체자(v0)
U+2003D,,,
U+2003E,,,
U+2003F,,,
U+20040,,,
U+20041,두,,
U+20042,,,
U+20043,,U+92EA,이체자(v0)
U+20044,,,
U+20045,,U+8655,이체자(v0)
U+20046,,,
U+20047,,,
U+20048,,U+541B,이체자(v0)
U+20049,,,
U+2004A,,U+723D,이체자(v0)
U+2004B,,,
U+2004C,,,
U+2004D,,,
U+2004E,,,
U+2004F,,U+58FC,이체자(v0)
U+20050,,U+58FC,이체자(v0)
U+20051,,,
U+20052,,,
U+20053,,,
U+20054,,,
U+20055,곤,U+58FC,이체자(v0)
U+20056,,,
U+20057,,U+5687,이체자(v0)
U+20058,,U+8F09,이체자(v0)
U+20059,,,
U+2005A,,,
U+2005B,,,
U+2005C,,U+8E0A,이체자(v0)
U+2005D,,,
U+2005E,,,
U+2005F,,,
U+20060,저,,
U+20061,복,U+535C,이체자(v0)
U+20062,,,
U+20063,,,
U+20064,,U+56DB,이체자(v0)
U+20065,"개,과,괴",,
U+20066,중,U+4E2D,이체자(v0)
U+20067,중,U+4E2D,이체자(v0)
U+20068,,,
U+20069,중,U+4E2D,이체자(v0)
U+2006A,,,
U+2006B,,,
U+2006C,,U+4E56,이체자(v0)
U+2006D,기,,
U+2006E,숙,U+53D4,이체자(v0)
U+2006F,,,
U+20070,괴,,
U+20071,사,U+4E8B,이체자(v0)
U+20072,,U+9631,이체자(v0)
U+20073,,,
U+20074,"귀,구",U+9F9C,이체자(v0)
U+20075,,,
U+20076,,,
U+20077,,U+4E33,이체자(v0)
U+20078,,,
U+20079,,,
U+2007A,,,
U+2007B,,,
U+2007C,"이,하",U+4F0A,이체자(v0)
U+2007D,환,U+4E38,이체자(v0)
U+2007E,,U+5369,이체자(v0)
U+2007F,단,U+4E39,이체자(v0)
U+20080,,,
U+20081,,U+4E39,이체자(v0)
U+20082,종,U+7D42,이체자(v0)
U+20083,,,
U+20084,,U+9A69,이체자(v0)
U+20085,,,
U+20086,예,,
U+20087,좌,U+5C6E,이체자(v0)
U+20088,"진,갈",U+6B84,이체자(v0)
U+20089,,,
U+2008A,,,
U+2008B,,,
U+2008C,,,
U+2008D,만,U+842C,이체자(v0)
U+2008E,,,
U+2008F,유,U+5976,이체자(v0)
U+20090,,,
U+20091,,,
U+20092,,,
U+20093,,,
U+20094,"자,지,제,본",,
U+20095,시,U+77E2,이체자(v0)
U+20096,제,U+5F1F,이체자(v0)
U+20097,,,
U+20098,,,
U+20099,제,,
U+2009A,,,
U+2009B,,,
U+2009C,,U+4E4F,이체자(v0)
U+2009D,,U+531D,이체자(v0)
U+2009E,호,U+4E4E,이체자(v0)
U+2009F,근,,
U+200A0,변,U+91C6,이체자(v0)
U+200A1,,U+98A8,이체자(v0)
U+200A2,파,U+6D3E,이체자(v0)
U+200A3,"은,의",,이체자(v0)
U+200A4,퇴,U+5806,이체자(v0)
U+200A5,종,U+5B98,이체자(v0)
U+200A6,,U+7528,이체자(v0)
U+200A7,신,,
U+200A8,,U+7A97,이체자(v0)
U+200A9,씨,U+6C0F,이체자(v0)
U+200AA,,,
U+200AB,,,
U+200AC,,U+5384,이체자(v0)
U+200AD,,,
U+200AE,,,
U+200AF,,U+4E56,이체자(v0)
U+200B0,호,,
U+200B1,,,
U+200B2,조,,
U+200B3,,U+7E3D,이체자(v0)
U+200B4,,,
U+200B5,,U+7528,이체자(v0)
